0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1.37,-0.12,1,0.25,-1.63,-1.37,-0.25,-0.5,-2.5,-4.25,2,1.5,1.63,-3.75,-2.88,-1,-4.63,-3.13,-4,-3.63,-2.5,-2.13,-1,0.37,1.5,1.37,0.25,1.37,4.38,2.5,3.25,-2.75,20.5,3.63,-10.13,0,0.675492092
1.37,0.12,1.12,0.25,-1.5,-1.37,-0.12,-0.63,-2.38,-4.38,2,1.37,1.37,-3.88,-3,0,-4.75,-3.13,-4.13,-3.63,-2.5,-2.25,-0.88,0.37,1.25,1.12,0.37,1.5,4.25,2.63,3.25,13.38,3.63,-10.13,-9.25,4.25,0.689397463
1.5,0.25,1,0.25,-1.5,-1.25,-0.12,-0.88,-2.38,-4.38,1.88,1.37,1.88,-4.13,-3,0.12,-4.75,-2.63,-4.38,-4,-2.38,-2.25,-1.12,0.75,1.12,1,0.75,1.37,4.25,2.75,3,30.62,5.5,-14.88,0.25,-27.75,0.709168452
1.37,0.37,1.12,0.25,-1.5,-1.12,0,-1,-2.5,-4.38,1.75,1.25,2.88,-3.88,-2.88,0.12,-4.63,-2.63,-4.5,-3.88,-2.25,-2.38,-1.12,0.88,0.88,0.75,0.75,1.25,4.25,2.88,3.25,5.63,0.12,-14.88,0.5,-10.25,0.733178384
1.37,0.25,1.12,0.25,-1.5,-1.5,-0.25,-1,-2.5,-4.38,1.75,1.37,3.38,-4.13,-2.63,-0.12,-4.5,-2.88,-4.75,-3.88,-2.25,-2.63,-0.75,0.75,0.63,1.25,0.75,1.37,4.88,2.63,2.88,5.13,-10.25,-15.13,-18,-14.75,0.760014839
1.37,-0.25,1.12,0,-1.37,-1.25,-0.37,-0.88,-2.38,-4.38,1.75,1.88,1.75,-3.75,-2.5,0,-4.5,-3,-4.75,-3.88,-2.25,-2.38,-0.12,0.5,0.5,1.37,0.63,1.25,4.75,2.63,3,-10.13,-9.75,-9.75,-19.75,-4,0.788938273
1.37,-0.25,1.12,0.25,-1.37,-1.12,-0.12,-0.75,-2.5,-4.38,2.13,1.75,2.75,-4,-3.25,-1.75,-4.5,-3.25,-4.5,-3.75,-2.38,-2.38,-0.63,0.25,1,1.37,0.75,1.75,4.75,2.38,3,-9.75,-4.88,-34.5,-14.88,26.87,0.820316871
1.37,-0.12,1.12,0.37,-1.5,-1.25,-0.25,-0.88,-2.5,-4.13,2.13,1.63,1.12,-4.13,-3,-5.13,-4.5,-3.25,-4.38,-3.75,-2.38,-1.75,-0.75,0,1,1.37,0.63,1.75,4.5,2.25,3,-9.75,0.75,-25.37,-5.25,2.25,0.855533045
1.37,-0.12,1.25,0.37,-1.37,-1.25,-0.25,-0.88,-2.63,-4.13,2.13,1.63,1.5,-4,-3.13,-4.63,-4.75,-3.13,-4.38,-3.75,-2.38,-2,-1.25,0,1.12,1.25,1.12,1.5,4.13,2.38,3.13,-9.5,-8.13,-20.62,12.88,11.13,0.895830009
1.37,0,1.25,0.12,-1.5,-1.25,-0.25,-0.88,-2.38,-4.13,1.88,1.5,1.63,-4.25,-2.63,-4,-4.88,-3,-4.38,-3.75,-1.75,-2.13,-1.12,0.5,1,1.25,1.25,1.5,3.75,2.5,3.13,-4.38,-15.13,-9,27.37,5.13,0.940615209
1.37,0,1.12,0.25,-1.5,-1.37,-0.25,-0.88,-2.25,-4.13,2,1.37,1.75,-4.13,-2.5,-3.5,-4.75,-3,-4.63,-3.88,-1.88,-2.25,-1.37,0.37,0.88,1.25,1,1.37,4,2.5,2.88,-2,-9.5,3.13,8.88,-5.13,0.986824542
1.37,-0.25,1.37,0.12,-1.5,-1.25,-0.25,-0.75,-2.13,-4.25,2.13,1.5,1.75,-3.75,-2.63,11,-4.63,-3,-4.5,-3.25,-2,-2.63,-1.12,0.5,1,1.88,0.75,1,4.25,2.5,3.13,-15.88,-10.13,37.63,4.25,-10,1.030418879
1.37,-0.25,1.25,0.12,-1.63,-1.25,-0.25,-0.63,-2.38,-4.25,1.88,1.5,1.88,-3.88,-2.63,1.12,-4.75,-3.13,-4.63,-3.38,-2.25,-2.5,-0.88,0.37,1,1.88,0.63,1,4.5,2.5,3,-5.38,-3.75,10.38,-10.13,-10.13,1.068423168
1.37,-0.25,1.12,0.25,-1.5,-1.25,-0.25,-0.88,-2.5,-4.25,2,1.37,-1.37,-3.75,-3.13,-0.88,-4.63,-3.13,-4.38,-3.63,-2.5,-2.38,-0.88,0.37,1.5,1.5,0.37,1.25,4.38,2.5,3.25,-10.25,21.62,3.38,-15,-9.75,1.099692411
1.37,0,1,0.25,-1.5,-1.25,-0.12,-0.75,-2.38,-4.25,2.13,1.5,1.5,-3.63,-3,-0.63,-4.63,-3.25,-4.13,-3.5,-2.63,-2.38,-1,0.37,1.37,1.37,0.12,1.5,4.25,2.38,3.25,1.63,6.25,-5.5,-0.37,0,1.124570974
1.5,0.37,1.12,0.25,-1.5,-1.5,-0.12,-0.75,-2.5,-4.25,2,1.5,1.63,-4,-3,-0.25,-4.75,-3.13,-4.38,-3.88,-2.63,-2.38,-0.75,0.5,1.25,1.12,0.5,1.37,4.25,2.75,3.13,17.75,10.13,-15.5,-0.37,-2.63,1.144341434
1.37,0.25,1.12,0.25,-1.5,-1.12,-0.25,-0.88,-2.5,-4.25,1.75,1.25,2.38,-4.13,-3,0.25,-4.75,-2.63,-4.25,-3.88,-2.38,-2.38,-1,0.88,1.12,0.75,0.75,1.5,4.25,2.75,3.13,13.25,-0.5,-14.25,1.12,-16.25,1.1606813
1.37,0.5,1.25,0.25,-1.5,-1.12,-0.12,-0.88,-2.5,-4.25,2.25,1.25,4.13,-3.75,-2.63,-0.25,-4.75,-2.63,-4.63,-3.88,-2.25,-2.5,-1.12,0.75,0.75,1,0.88,1.25,4.5,2.75,2.88,6.63,-5.5,-14.63,-5.5,-10.25,1.175245281
1.37,0,1.12,0.12,-1.37,-1.25,-0.25,-1,-2.38,-4.38,1.88,1.5,2.88,-3.63,-2.88,-0.25,-4.38,-2.88,-4.75,-3.75,-2.25,-2.38,-0.5,0.37,0.75,1.25,0.75,1.37,4.75,2.63,2.88,4.25,-10.38,-9.75,-42.13,-4.38,1.189475515
1.37,-0.25,1.25,0.25,-1.5,-1.12,-0.37,-0.88,-2.5,-4.38,1.75,1.75,2.38,-3.75,-2.88,0.37,-4.38,-2.88,-4.75,-3.63,-2.25,-2.5,-0.63,0.63,0.75,1.37,0.63,1.5,4.63,2.38,2.88,-11,-9.63,-11.13,-21.75,8,1.204385228
1.37,-0.12,1.12,0.25,-1.25,-1.25,-0.25,-0.75,-2.5,-4.38,1.75,1.88,1,-3.75,-3,-6.75,-4.63,-3.13,-4.5,-3.63,-2.38,-2,-0.63,0.37,1,1.37,0.63,1.88,4.63,2.25,3.13,-0.12,-5.38,-43.25,-9.63,32.88,1.220538267
1.37,0,1.12,0.37,-1.37,-1.12,-0.25,-0.88,-2.5,-4.13,2,1.5,1.12,-4,-2.88,-5.25,-4.5,-3.25,-4.63,-3.63,-2.38,-1.75,-0.75,0.12,1.12,1.25,0.75,1.63,4.25,2.13,3.13,-8.88,0,-16.62,-5.13,6.75,1.237936735
1.37,0,1.12,0.25,-1.5,-1.12,-0.12,-0.88,-2.5,-4.25,2.25,1.75,1.25,-3.88,-2.88,-5.13,-4.75,-3,-4.38,-3.88,-2.13,-2.13,-1.12,0,1.12,1.37,1.25,1.63,3.88,2.5,3.13,-10.13,-8.63,-7.38,26.75,7.75,1.256042159
