0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,rate,p,n
-2,-1.88,0.12,-0.75,-2.63,-0.63,0.5,-0.88,-0.75,-2.75,0.63,-0.12,5,-2.75,-1.37,1.25,-5.38,-1.63,-2.13,-1.37,0.75,0,0.75,1.12,0.25,0.37,-0.25,1.63,5,1.5,2.88,1.88,8.88,-10.25,0.25,6.13,0.537233903,0,1,0
-2.13,-1.88,0.25,-0.75,-2.5,-0.5,0.5,-1,-0.5,-2.75,0.63,0.25,4.5,-2.75,-1.25,0.5,-4.88,-1.75,-2.63,-0.88,0.88,-0.25,1.63,0.63,-0.37,1,0.37,1.75,4.75,1.75,2.88,7,-5,-14.75,-4.38,-10.5,0.60154634,0,1,0
-2,-1.88,0,-0.75,-2.25,-0.75,0.5,-0.75,-0.75,-2.63,0.75,0.25,3.5,-2.63,-1.5,-4.63,-5,-2,-2.5,-1.12,0.75,0.37,1.12,0.12,0.37,0.88,0.5,1.63,5.25,1.37,2.75,-11.25,-10.63,-11.13,-17.87,12.63,0.673195743,0,1,0
-2,-1.75,0.25,-0.75,-2.75,-0.63,0.5,-1,-0.37,-2.75,0.75,0,4.63,-2.75,-1.12,-3.63,-5.25,-2,-2.25,-1.12,1.12,0.25,0.37,0.75,0,1,0.5,2.25,4.88,1.37,2.75,-10,-7.38,-5,12,5.5,0.745000004,1,1,0
-2,-1.75,0.25,-1,-2.63,-0.5,0.5,-0.88,-0.63,-2.88,0.37,0.12,4.75,-2.5,-1.5,1.5,-5.25,-1.88,-2.5,-0.5,0.63,-0.88,1.12,0.63,0.5,1.25,0.88,1.5,4.5,1.5,2.75,-6.63,-4.38,31.75,5.75,-10.5,0.811569257,0,1,0
-2,-1.75,0.12,-0.75,-2.5,-0.63,0.63,-0.75,-0.75,-2.75,0.63,0,3.63,-2.63,-1.25,0.5,-5.25,-2,-2.13,-1,0.25,0,1.25,0.63,0.63,0.5,0.25,1.63,4.88,1.5,3.13,-4.75,11,0,-10.13,-4.75,0.86964982,0,0,0
-2,-1.88,0,-0.75,-2.5,-0.37,0.63,-1,-0.75,-2.75,0.37,0.25,11.88,-3.13,-1.12,0.75,-5.25,-1.5,-2.5,-1.5,0.88,0,1,0.75,-0.12,0.75,0.25,1.75,4.75,1.88,2.88,27.25,5.75,-0.88,-4.38,-21.62,0.917661603,1,1,0
-2,-1.88,0.12,-0.75,-2.25,-0.5,0.25,-1,-0.63,-2.75,0.5,0.25,5.63,-2.75,-1.25,-0.75,-4.88,-2.13,-2.63,-0.75,0.63,0.37,1.37,0.25,0.12,1,0.5,1.75,5.38,1.63,2.63,-0.5,-10.13,-0.12,-35.25,-9,0.955139775,0,0,0
-2,-1.88,0,-0.63,-2.63,-0.63,0.5,-0.88,-0.75,-2.63,0.63,0.37,4.25,-3,-1.25,-4.25,-5.25,-2,-2.38,-1.12,1.37,0.12,0.75,0.37,0.12,0.88,0.37,2.38,5.25,1.25,2.75,-10.75,-0.25,-16.5,-4.25,6,0.982337745,0,1,0
-2,-1.88,0.25,-0.88,-2.5,-0.5,0.63,-0.88,-0.5,-2.75,0.75,0,4.5,-2.75,-1,1.63,-5.13,-1.88,-2.38,-0.63,1.12,-0.37,0.88,0.63,0.12,1.37,1.12,1.88,4.25,1.37,2.75,-4.88,-18.62,-4.63,5.38,-5.38,0.999981756,1,0,0
-2,-1.75,0.12,-0.75,-2.38,-0.5,0.63,-0.88,-0.75,-2.75,0.37,0,2.75,-2.5,-1.25,-0.88,-5.13,-1.88,-2.13,-0.75,0.63,-0.12,1.12,0.75,0.75,0.88,0.75,1.5,4.88,1.5,2.75,-20.12,-8.63,21.75,-0.37,-9.75,1.009115546,0,0,0
-2,-1.88,0.12,-0.63,-2.5,-0.5,0.63,-0.88,-0.75,-2.75,0.63,-0.12,5.38,-3,-1.25,0,-5.25,-1.37,-2.25,-1.5,0.75,-0.25,1,1,0.37,0.37,-0.12,1.75,4.88,1.5,2.88,0.25,8.13,-11.25,1.88,5.88,1.011006027,1,0,0
